"mode","row","col","observed_accuracy","observed_lift","observed_surprise","null_accuracy","null_surprise","delta_accuracy","samples"
"block_boundary","chr22","chrY","0,952798062806586","0,95116123413596","0,0472019371934138","0,00058","0,99942","0,952218062806586","200000"
"rotation","chr22","chrY","0,952798062806586","0,95116123413596","0,0472019371934138","0,000315","0,999685","0,952483062806586","200000"
"symbol_shuffle","chr22","chrY","0,952798062806586","0,95116123413596","0,0472019371934138","0,000255","0,999745","0,952543062806586","200000"
"block_boundary","chr21","chrY","0,95728789335689","0,956321100090501","0,0427121066431095","0,00051","0,99949","0,95677789335689","200000"
"rotation","chr21","chrY","0,95728789335689","0,956321100090501","0,0427121066431095","0,000265","0,999735","0,957022893356891","200000"
"symbol_shuffle","chr21","chrY","0,95728789335689","0,956321100090501","0,0427121066431095","0,00025","0,99975","0,95703789335689","200000"
"block_boundary","chr20","chrY","0,959009691768846","0,95765358645909","0,0409903082311537","0,00039","0,99961","0,958619691768846","200000"
"rotation","chr20","chrY","0,959009691768846","0,95765358645909","0,0409903082311537","0,00027","0,99973","0,958739691768846","200000"
"symbol_shuffle","chr20","chrY","0,959009691768846","0,95765358645909","0,0409903082311537","0,00018","0,99982","0,958829691768846","200000"
"block_boundary","chr19","chrY","0,959745305079097","0,957487572431763","0,0402546949209029","0,00045","0,99955","0,959295305079097","200000"
"rotation","chr19","chrY","0,959745305079097","0,957487572431763","0,0402546949209029","0,00024","0,99976","0,959505305079097","200000"
"symbol_shuffle","chr19","chrY","0,959745305079097","0,957487572431763","0,0402546949209029","0,00022","0,99978","0,959525305079097","200000"
"block_boundary","chr16","chrY","0,960623531682091","0,958960728373696","0,0393764683179087","0,00036","0,99964","0,960263531682091","200000"
"rotation","chr16","chrY","0,960623531682091","0,958960728373696","0,0393764683179087","0,000255","0,999745","0,960368531682091","200000"
"symbol_shuffle","chr16","chrY","0,960623531682091","0,958960728373696","0,0393764683179087","0,00025","0,99975","0,960373531682091","200000"
"block_boundary","chr17","chrY","0,961024445839014","0,95926000354802","0,0389755541609856","0,000385","0,999615","0,960639445839014","200000"
"rotation","chr17","chrY","0,961024445839014","0,95926000354802","0,0389755541609856","0,000265","0,999735","0,960759445839014","200000"
"symbol_shuffle","chr17","chrY","0,961024445839014","0,95926000354802","0,0389755541609856","0,000235","0,999765","0,960789445839014","200000"
"block_boundary","chr9","chrY","0,963549541967939","0,962601652540241","0,0364504580320608","0,000305","0,999695","0,963244541967939","200000"
"rotation","chr9","chrY","0,963549541967939","0,962601652540241","0,0364504580320608","0,000265","0,999735","0,963284541967939","200000"
"symbol_shuffle","chr9","chrY","0,963549541967939","0,962601652540241","0,0364504580320608","0,000215","0,999785","0,963334541967939","200000"
"block_boundary","chr14","chrY","0,96529869928734","0,96416054626634","0,0347013007126596","0,00033","0,99967","0,96496869928734","200000"
"rotation","chr14","chrY","0,96529869928734","0,96416054626634","0,0347013007126596","0,000275","0,999725","0,96502369928734","200000"
"symbol_shuffle","chr14","chrY","0,96529869928734","0,96416054626634","0,0347013007126596","0,0002","0,9998","0,96509869928734","200000"
"block_boundary","chr10","chrY","0,965535582255049","0,964342291965311","0,0344644177449515","0,000295","0,999705","0,965240582255048","200000"
"rotation","chr10","chrY","0,965535582255049","0,964342291965311","0,0344644177449515","0,000275","0,999725","0,965260582255049","200000"
"symbol_shuffle","chr10","chrY","0,965535582255049","0,964342291965311","0,0344644177449515","0,00026","0,99974","0,965275582255049","200000"
"symbol_shuffle","chr12","chrY","0,966593654364136","0,965640879117996","0,0334063456358637","0,000275","0,999725","0,966318654364136","200000"
"rotation","chr12","chrY","0,966593654364136","0,965640879117996","0,0334063456358637","0,000245","0,999755","0,966348654364136","200000"
"block_boundary","chr12","chrY","0,966593654364136","0,965640879117996","0,0334063456358637","0,000235","0,999765","0,966358654364136","200000"
"block_boundary","chr15","chrY","0,96712560991377","0,965876570785047","0,0328743900862304","0,000355","0,999645","0,96677060991377","200000"
"block_boundary","chr22","chr21","0,967331439802304","0,965694611131678","0,0326685601976963","0,00053","0,99947","0,966801439802304","200000"
"symbol_shuffle","chr15","chrY","0,96712560991377","0,965876570785047","0,0328743900862304","0,000245","0,999755","0,96688060991377","200000"
"rotation","chr15","chrY","0,96712560991377","0,965876570785047","0,0328743900862304","0,000245","0,999755","0,96688060991377","200000"
"rotation","chr22","chr21","0,967331439802304","0,965694611131678","0,0326685601976963","0,00027","0,99973","0,967061439802304","200000"
"symbol_shuffle","chr22","chr21","0,967331439802304","0,965694611131678","0,0326685601976963","0,00023","0,99977","0,967101439802304","200000"
"block_boundary","chr5","chrY","0,969575106596791","0,968537619109101","0,0304248934032085","0,0003","0,9997","0,969275106596792","200000"
"block_boundary","chr18","chrY","0,969625033192296","0,968513018455333","0,0303749668077044","0,000315","0,999685","0,969310033192296","200000"
"rotation","chr5","chrY","0,969575106596791","0,968537619109101","0,0304248934032085","0,00024","0,99976","0,969335106596791","200000"
"rotation","chr18","chrY","0,969625033192296","0,968513018455333","0,0303749668077044","0,000285","0,999715","0,969340033192296","200000"
"symbol_shuffle","chr18","chrY","0,969625033192296","0,968513018455333","0,0303749668077044","0,00023","0,99977","0,969395033192296","200000"
"symbol_shuffle","chr5","chrY","0,969575106596791","0,968537619109101","0,0304248934032085","0,000115","0,999885","0,969460106596791","200000"
"rotation","chr11","chrY","0,970012252214752","0,968938170294635","0,029987747785248","0,00032","0,99968","0,969692252214752","200000"
"block_boundary","chr11","chrY","0,970012252214752","0,968938170294635","0,029987747785248","0,0003","0,9997","0,969712252214752","200000"
"symbol_shuffle","chr11","chrY","0,970012252214752","0,968938170294635","0,029987747785248","0,00026","0,99974","0,969752252214752","200000"
"block_boundary","chr13","chrY","0,970180312586814","0,969056986256296","0,0298196874131863","0,000325","0,999675","0,969855312586814","200000"
"rotation","chr13","chrY","0,970180312586814","0,969056986256296","0,0298196874131863","0,000255","0,999745","0,969925312586814","200000"
"symbol_shuffle","chr13","chrY","0,970180312586814","0,969056986256296","0,0298196874131863","0,00024","0,99976","0,969940312586814","200000"
"block_boundary","chr7","chrY","0,97034378826525","0,969183987579363","0,0296562117347498","0,0003","0,9997","0,97004378826525","200000"
"block_boundary","chr8","chrY","0,970355413102314","0,969299240248608","0,0296445868976865","0,00028","0,99972","0,970075413102314","200000"
