"a","b","lift_a_to_b","lift_b_to_a","delta_lift","acc_a_to_b","acc_b_to_a","delta_acc"
"chr16","chrY","0.958960728373696","0.993345488429943","0.034384760056247","0.960623531682091","0.994886833425708","0.034263301743617"
"chr17","chrY","0.95926000354802","0.993273431119268","0.034013427571249","0.961024445839014","0.994814776115033","0.033790330276019"
"chr20","chrY","0.95765358645909","0.991241061612408","0.033587475153318","0.959009691768846","0.992782406608173","0.033772714839326"
"chr22","chrY","0.95116123413596","0.983404355845501","0.032243121709541","0.952798062806586","0.984945700841266","0.03214763803468"
"chr9","chrY","0.962601652540241","0.994672806807662","0.032071154267421","0.963549541967939","0.996214151803427","0.032664609835488"
"chr10","chrY","0.964342291965311","0.995787234321793","0.031444942356482","0.965535582255049","0.997328579317558","0.031792997062509"
"chr19","chrY","0.957487572431763","0.988112815247579","0.030625242815817","0.959745305079097","0.989654160243344","0.029908855164247"
"chr12","chrY","0.965640879117996","0.995220619041706","0.02957973992371","0.966593654364136","0.996761964037471","0.030168309673335"
"chr14","chrY","0.96416054626634","0.993029622495409","0.028869076229069","0.96529869928734","0.994570967491174","0.029272268203833"
"chr5","chrY","0.968537619109101","0.996167081090849","0.027629461981749","0.969575106596791","0.997708426086614","0.028133319489823"
"chr7","chrY","0.969183987579363","0.996236488307786","0.027052500728423","0.97034378826525","0.997777833303551","0.027434045038301"
"chr15","chrY","0.965876570785047","0.992860142691142","0.026983571906095","0.96712560991377","0.994401487686907","0.027275877773138"
"chr1","chrY","0.970491181147766","0.997210208463945","0.026719027316179","0.971694618022324","0.99875155345971","0.027056935437386"
"chr11","chrY","0.968938170294635","0.995652079541175","0.02671390924654","0.970012252214752","0.99719342453694","0.027181172322188"
"chr2","chrY","0.970624444730797","0.997291730395111","0.026667285664314","0.971706696997814","0.998833075390876","0.027126378393062"
"chr8","chrY","0.969299240248608","0.995894878605516","0.026595638356907","0.970355413102314","0.99743622360128","0.027080810498967"
"chr6","chrY","0.970295171308258","0.996286209114101","0.025991037805844","0.971409932394078","0.997827554109866","0.026417621715788"
"chr21","chrY","0.956321100090501","0.981703500445721","0.025382400355219","0.95728789335689","0.983244845441485","0.025956952084595"
"chr13","chrY","0.969056986256296","0.993266995177334","0.024210008921038","0.970180312586814","0.994808340173099","0.024628027586285"
"chr3","chrY","0.972943491050652","0.99671830058827","0.023774809537619","0.974046656032516","0.998259645584035","0.024212989551519"
"chr18","chrY","0.968513018455333","0.991881879517148","0.023368861061815","0.969625033192296","0.993423224512913","0.023798191320617"
"chrX","chrY","0.972589901838403","0.99544764373856","0.022857741900157","0.973693677757043","0.996988988734325","0.023295310977282"
"chr4","chrY","0.973901411845046","0.996386407896371","0.022484996051325","0.975025701474182","0.997927752892136","0.022902051417953"
"chr16","chr21","0.971694571294362","0.99117114111706","0.019476569822697","0.973357374602758","0.992137934383449","0.018780559780692"
"chr17","chr21","0.971822991850449","0.991231674831512","0.019408682981063","0.973587434141444","0.992198468097901","0.018611033956457"
"chr10","chr21","0.975974308414537","0.993666327522651","0.017692019108114","0.977167598704275","0.99463312078904","0.017465522084766"
"chr19","chr21","0.969897886693112","0.98699764084815","0.017099754155038","0.972155619340446","0.98796443411454","0.015808814774093"
"chr9","chr21","0.974738540111792","0.991639778499822","0.01690123838803","0.975686429539489","0.992606571766211","0.016920142226721"
"chr1","chr21","0.980717646678541","0.996767017374174","0.016049370695633","0.981921083553099","0.997733810640563","0.015812727087464"
"chr20","chr21","0.970864796290191","0.986763155855356","0.015898359565165","0.972220901599948","0.987729949121746","0.015509047521798"
"chr2","chr21","0.980831926624793","0.996520891282447","0.015688964657654","0.98191417889181","0.997487684548836","0.015573505657026"
"chr12","chr21","0.976954280858864","0.992382064858216","0.015427783999352","0.977907056105005","0.993348858124606","0.015441802019601"
