"row","col","n","train_n","unique_variants","grammar_edges","test_transitions","entropy_raw","baseline_accuracy","kgram_accuracy","lift","out_of_grammar","surprise_rate","compression_ratio","is_self"
"chr4","chr2","189752412","132826688","522911","2370549","56925723","16,3335238608365","0,00112428962913655","0,998843580783331","0,997719291154194","65830","0,00115641921666941","362,877070859095","False"
"chr3","chr2","198099715","138669800","524473","2370549","59429914","16,3847066221803","0,00110316498186418","0,998804945267126","0,997701780285262","71022","0,00119505473287409","377,711941320144","False"
"chr3","chr1","198099715","138669800","524473","2377244","59429914","16,3847066221803","0,00110316498186418","0,998788253336527","0,997685088354663","72014","0,00121174666347321","377,711941320144","False"
"chr4","chr1","189752412","132826688","522911","2377244","56925723","16,3335238608365","0,00112428962913655","0,998793129074531","0,997668839445394","68702","0,00120687092546897","362,877070859095","False"
"chrX","chr2","154892552","108424786","518905","2370549","46467765","16,3430698202026","0,00110377591863951","0,998769706268421","0,997665930349781","57169","0,0012302937315793","298,498862026768","False"
"chrX","chr1","154892552","108424786","518905","2377244","46467765","16,3430698202026","0,00110377591863951","0,998766004777721","0,997662228859081","57341","0,00123399522227936","298,498862026768","False"
"chr2","chr1","240547740","168383418","528775","2377244","72164321","16,4125333262438","0,0010822522670171","0,998645965227055","0,997563712960037","97713","0,00135403477294548","454,91511512458","False"
"chr8","chr1","144767971","101337579","521302","2377244","43430391","16,4125441001416","0,00105617285370514","0,998610143758549","0,997553970904844","60362","0,00138985624145083","277,704614599599","False"
"chr2","chr2","240547740","168383418","528775","2370549","72164321","16,4125333262438","0,0010822522670171","0,998626772917326","0,997544520650309","99098","0,00137322708267428","454,91511512458","True"
"chr8","chr2","144767971","101337579","521302","2370549","43430391","16,4125441001416","0,00105617285370514","0,998567638960469","0,997511466106764","62208","0,00143236103953105","277,704614599599","False"
"chr5","chr1","181264838","126885386","523551","2377244","54379451","16,3752672992839","0,00103748748769089","0,998544045617526","0,997506558129835","79174","0,00145595438247437","346,22193062376","False"
"chr11","chr1","134533502","94173451","521158","2377244","40360050","16,4314763452747","0,00107408192011655","0,998573688585619","0,997499606665502","57566","0,0014263114143813","258,14340756546","False"
"chr11","chr2","134533502","94173451","521158","2370549","40360050","16,4314763452747","0,00107408192011655","0,998553445796028","0,997479363875912","58383","0,0014465542039715","258,14340756546","False"
"chr6","chr1","170078297","119054807","523522","2377244","51023489","16,3880976124483","0,00111476108582069","0,998587023321749","0,997472262235928","72095","0,00141297667825107","324,873256520261","False"
"chr6","chr2","170078297","119054807","523522","2370549","51023489","16,3880976124483","0,00111476108582069","0,998586866531217","0,997472105445396","72103","0,00141313346878337","324,873256520261","False"
"chr1","chr1","230478786","161335150","528881","2377244","69143635","16,4364904495584","0,0012034368745583","0,998661785716068","0,997458348841509","92529","0,00133821428393228","435,785717392003","True"
"chr5","chr2","181264838","126885386","523551","2370549","54379451","16,3752672992839","0,00103748748769089","0,998480216359669","0,997442728871978","82645","0,00151978364033135","346,22193062376","False"
"chr1","chr2","230478786","161335150","528881","2370549","69143635","16,4364904495584","0,0012034368745583","0,998641292144968","0,997437855270409","93946","0,0013587078550325","435,785717392003","False"
"chr7","chr1","158969846","111278892","523371","2377244","47690953","16,3773399766705","0,0011598006858869","0,998548026498862","0,997388225812975","69246","0,00145197350113763","303,742175244712","False"
"chr12","chr1","133137381","93196166","520099","2377244","39941214","16,3805179102583","0,00095277524614049","0,998325589202171","0,997372813956031","66878","0,00167441079782903","255,984689453354","False"
"chr13","chr1","97982809","68587966","511450","2377244","29394842","16,3425472661166","0,00112332633051744","0,998472044857394","0,997348718526876","44914","0,00152795514260631","191,578471013784","False"
"chr7","chr2","158969846","111278892","523371","2370549","47690953","16,3773399766705","0,0011598006858869","0,998501371947841","0,997341571261954","71471","0,00149862805215908","303,742175244712","False"
"chr18","chr1","80088870","56062209","507534","2377244","24026660","16,277703819702","0,00111201473696302","0,998444228203171","0,997332213466208","37380","0,00155577179682902","157,800009457494","False"
"chr13","chr2","97982809","68587966","511450","2370549","29394842","16,3425472661166","0,00112332633051744","0,998454660855126","0,997331334524608","45425","0,00154533914487446","191,578471013784","False"
"chrY","chr2","26414161","18489912","454827","2370549","7924248","16,3069880725748","0,0015413449957649","0,998833075390876","0,997291730395111","9247","0,00116692460912379","58,0751824320016","False"
"chr18","chr2","80088870","56062209","507534","2370549","24026660","16,277703819702","0,00111201473696302","0,99840073485037","0,997288720113407","38425","0,00159926514962962","157,800009457494","False"
"chr12","chr2","133137381","93196166","520099","2370549","39941214","16,3805179102583","0,00095277524614049","0,998236858799535","0,997284083553394","70422","0,00176314120046526","255,984689453354","False"
"chr9","chr1","121789875","85252912","518838","2377244","36536962","16,4184124615069","0,000947889427697902","0,998200835635979","0,997252946208281","65736","0,00179916436402129","234,735842401675","False"
"chrY","chr1","26414161","18489912","454827","2377244","7924248","16,3069880725748","0,0015413449957649","0,99875155345971","0,997210208463945","9893","0,00124844654029001","58,0751824320016","False"
"chr4","chr3","189752412","132826688","522911","2306226","56925723","16,3335238608365","0,00112428962913655","0,998314312143212","0,997190022514075","95959","0,0016856878567884","362,877070859095","False"
"chr14","chr1","90567789","63397452","512111","2377244","27170336","16,4004975856765","0,00113815302100055","0,998283348428227","0,997145195407226","46642","0,00171665157177298","176,851871957447","False"
"chr3","chr3","198099715","138669800","524473","2306226","59429914","16,3847066221803","0,00110316498186418","0,998247296807463","0,997144131825599","104163","0,00175270319253701","377,711941320144","True"
"chr15","chr1","84641066","59248746","511336","2377244","25392319","16,4151677956165","0,00124903912872235","0,998381951644511","0,997132912515789","41086","0,00161804835548892","165,52925278095","False"
"chrX","chr3","154892552","108424786","518905","2306226","46467765","16,3430698202026","0,00110377591863951","0,998194404228394","0,997090628309754","83902","0,0018055957716064","298,498862026768","False"
"chr10","chr1","133261791","93283253","521535","2377244","39978537","16,4322450766873","0,00119329028973722","0,998281828071898","0,99708853778216","68690","0,00171817192810232","255,518404325692","False"
"chr9","chr2","121789875","85252912","518838","2370549","36536962","16,4184124615069","0,000947889427697902","0,998034127741655","0,997086238313957","71827","0,00196587225834485","234,735842401675","False"
