"row","col","n","train_n","unique_variants","grammar_edges","test_transitions","entropy_raw","baseline_accuracy","kgram_accuracy","lift","out_of_grammar","surprise_rate","compression_ratio"
"chr4","chr2","189752412","132826688","522911","2370549","56925723","16.333523860836518","0.0011242896291365505","0.99884358078333058","0.997719291154194","65830","0.0011564192166694132","362.87707085909454"
"chr3","chr2","198099715","138669800","524473","2370549","59429914","16.384706622180257","0.0011031649818641837","0.99880494526712593","0.9977017802852618","71022","0.0011950547328740877","377.71194132014421"
"chr3","chr1","198099715","138669800","524473","2377244","59429914","16.384706622180257","0.0011031649818641837","0.99878825333652677","0.99768508835466263","72014","0.0012117466634732131","377.71194132014421"
"chr4","chr1","189752412","132826688","522911","2377244","56925723","16.333523860836518","0.0011242896291365505","0.99879312907453099","0.99766883944539442","68702","0.0012068709254689659","362.87707085909454"
"chrX","chr2","154892552","108424786","518905","2370549","46467765","16.343069820202643","0.0011037759186395127","0.99876970626842065","0.99766593034978113","57169","0.0012302937315793001","298.49886202676788"
"chrX","chr1","154892552","108424786","518905","2377244","46467765","16.343069820202643","0.0011037759186395127","0.9987660047777206","0.99766222885908107","57341","0.0012339952222793586","298.49886202676788"
"chr2","chr1","240547740","168383418","528775","2377244","72164321","16.412533326243775","0.0010822522670171039","0.99864596522705451","0.99756371296003743","97713","0.0013540347729454837","454.91511512458038"
"chr8","chr1","144767971","101337579","521302","2377244","43430391","16.412544100141623","0.0010561728537051393","0.99861014375854917","0.99755397090484399","60362","0.001389856241450831","277.7046145995987"
"chr8","chr2","144767971","101337579","521302","2370549","43430391","16.412544100141623","0.0010561728537051393","0.99856763896046896","0.99751146610676378","62208","0.001432361039531051","277.7046145995987"
"chr5","chr1","181264838","126885386","523551","2377244","54379451","16.375267299283941","0.0010374874876908926","0.99854404561752563","0.99750655812983469","79174","0.0014559543824743651","346.22193062375965"
"chr11","chr1","134533502","94173451","521158","2377244","40360050","16.431476345274682","0.0010740819201165508","0.99857368858561868","0.99749960666550208","57566","0.0014263114143813003","258.14340756546"
"chr11","chr2","134533502","94173451","521158","2370549","40360050","16.431476345274682","0.0010740819201165508","0.99855344579602845","0.99747936387591185","58383","0.0014465542039715014","258.14340756546"
"chr6","chr1","170078297","119054807","523522","2377244","51023489","16.388097612448256","0.0011147610858206895","0.99858702332174898","0.99747226223592833","72095","0.0014129766782510699","324.87325652026084"
"chr6","chr2","170078297","119054807","523522","2370549","51023489","16.388097612448256","0.0011147610858206895","0.99858686653121664","0.997472105445396","72103","0.0014131334687833676","324.87325652026084"
"chr5","chr2","181264838","126885386","523551","2370549","54379451","16.375267299283941","0.0010374874876908926","0.99848021635966866","0.99744272887197771","82645","0.0015197836403313451","346.22193062375965"
"chr1","chr2","230478786","161335150","528881","2370549","69143635","16.436490449558402","0.0012034368745583016","0.99864129214496755","0.99743785527040929","93946","0.0013587078550324986","435.78571739200311"
"chr7","chr1","158969846","111278892","523371","2377244","47690953","16.37733997667053","0.0011598006858869019","0.99854802649886243","0.99738822581297548","69246","0.0014519735011376267","303.74217524471169"
"chr12","chr1","133137381","93196166","520099","2377244","39941214","16.380517910258277","0.00095277524614049037","0.99832558920217096","0.9973728139560305","66878","0.0016744107978290295","255.98468945335406"
"chr13","chr1","97982809","68587966","511450","2377244","29394842","16.342547266116554","0.0011233263305174424","0.99847204485739371","0.99734871852687623","44914","0.0015279551426063116","191.57847101378434"
"chr7","chr2","158969846","111278892","523371","2370549","47690953","16.37733997667053","0.0011598006858869019","0.99850137194784094","0.997341571261954","71471","0.0014986280521590751","303.74217524471169"
"chr18","chr1","80088870","56062209","507534","2377244","24026660","16.277703819701976","0.0011120147369630235","0.99844422820317102","0.99733221346620804","37380","0.0015557717968290225","157.80000945749447"
"chr13","chr2","97982809","68587966","511450","2370549","29394842","16.342547266116554","0.0011233263305174424","0.99845466085512558","0.99733133452460809","45425","0.0015453391448744648","191.57847101378434"
"chrY","chr2","26414161","18489912","454827","2370549","7924248","16.306988072574818","0.0015413449957648979","0.99883307539087618","0.99729173039511132","9247","0.0011669246091237932","58.075182432001618"
"chr18","chr2","80088870","56062209","507534","2370549","24026660","16.277703819701976","0.0011120147369630235","0.9984007348503704","0.99728872011340741","38425","0.0015992651496296198","157.80000945749447"
"chr12","chr2","133137381","93196166","520099","2370549","39941214","16.380517910258277","0.00095277524614049037","0.99823685879953472","0.99728408355339426","70422","0.0017631412004652637","255.98468945335406"
"chr9","chr1","121789875","85252912","518838","2377244","36536962","16.418412461506893","0.0009478894276979022","0.99820083563597872","0.99725294620828087","65736","0.0017991643640212888","234.73584240167452"
"chrY","chr1","26414161","18489912","454827","2377244","7924248","16.306988072574818","0.0015413449957648979","0.99875155345971001","0.99721020846394515","9893","0.0012484465402900062","58.075182432001618"
"chr4","chr3","189752412","132826688","522911","2306226","56925723","16.333523860836518","0.0011242896291365505","0.99831431214321165","0.99719002251407507","95959","0.0016856878567883978","362.87707085909454"
"chr14","chr1","90567789","63397452","512111","2377244","27170336","16.400497585676458","0.0011381530210005501","0.99828334842822697","0.99714519540722646","46642","0.0017166515717729806","176.85187195744672"
"chr15","chr1","84641066","59248746","511336","2377244","25392319","16.415167795616465","0.0012490391287223511","0.99838195164451105","0.99713291251578873","41086","0.0016180483554889178","165.52925278095029"
"chrX","chr3","154892552","108424786","518905","2306226","46467765","16.343069820202643","0.0011037759186395127","0.99819440422839356","0.99709062830975403","83902","0.0018055957716064028","298.49886202676788"
"chr10","chr1","133261791","93283253","521535","2377244","39978537","16.432245076687316","0.0011932902897372158","0.99828182807189769","0.99708853778216044","68690","0.0017181719281023214","255.51840432569242"
"chr9","chr2","121789875","85252912","518838","2370549","36536962","16.418412461506893","0.0009478894276979022","0.99803412774165512","0.99708623831395726","71827","0.0019658722583448507","234.73584240167452"
"chr15","chr2","84641066","59248746","511336","2370549","25392319","16.415167795616465","0.0012490391287223511","0.99833036124034202","0.99708132211161971","42396","0.0016696387596579895","165.52925278095029"
"chr14","chr2","90567789","63397452","512111","2370549","27170336","16.400497585676458","0.0011381530210005501","0.99815037252391725","0.99701221950291674","50255","0.0018496274760827396","176.85187195744672"
"chr10","chr2","133261791","93283253","521535","2370549","39978537","16.432245076687316","0.0011932902897372158","0.99816398984284993","0.99697069955311268","73401","0.0018360101571500728","255.51840432569242"
"chr2","chr3","240547740","168383418","528775","2306226","72164321","16.412533326243775","0.0010822522670171039","0.99796266357165608","0.996880411304639","147023","0.0020373364283438628","454.91511512458038"
"chr3","chr4","198099715","138669800","524473","2277542","59429914","16.384706622180257","0.0011031649818641837","0.99794155852219468","0.99683839354033055","122333","0.0020584414778052683","377.71194132014421"
"chr8","chr3","144767971","101337579","521302","2306226","43430391","16.412544100141623","0.0010561728537051393","0.99788330250123702","0.99682712964753184","91929","0.0021166974987630208","277.7046145995987"
"chr4","chr6","189752412","132826688","522911","2272646","56925723","16.333523860836518","0.0011242896291365505","0.99792842332454867","0.9968041336954121","117926","0.0020715766754512716","362.87707085909454"
"chr6","chr3","170078297","119054807","523522","2306226","51023489","16.388097612448256","0.0011147610858206895","0.99790788513110107","0.99679312404528042","106747","0.0020921148688989107","324.87325652026084"
"chr11","chr3","134533502","94173451","521158","2306226","40360050","16.431476345274682","0.0010740819201165508","0.99786630591389258","0.99679222399377598","86116","0.0021336940861074257","258.14340756546"
"chrX","chr4","154892552","108424786","518905","2277542","46467765","16.343069820202643","0.0011037759186395127","0.99789258209427545","0.99678880617563592","97927","0.0021074179057245382","298.49886202676788"
"chr1","chr3","230478786","161335150","528881","2306226","69143635","16.436490449558402","0.0012034368745583016","0.9979889399797971","0.99678550310523883","139052","0.0020110600202028718","435.78571739200311"
"chr21","chr1","40087854","28061497","489024","2377244","12026356","16.373807206207676","0.00096679326638925373","0.9977338106405631","0.99676701737417384","27254","0.00226618935943689","81.975228209658425"
"chr3","chr6","198099715","138669800","524473","2272646","59429914","16.384706622180257","0.0011031649818641837","0.99785109902733493","0.9967479340454708","127709","0.0021489009726650453","377.71194132014421"
"chr5","chr3","181264838","126885386","523551","2306226","54379451","16.375267299283941","0.0010374874876908926","0.99777266967994949","0.99673518219225854","121121","0.0022273303200504913","346.22193062375965"
"chrY","chr3","26414161","18489912","454827","2306226","7924248","16.306988072574818","0.0015413449957648979","0.99825964558403524","0.99671830058827038","13791","0.0017403544159647704","58.075182432001618"
"chr4","chr7","189752412","132826688","522911","2273356","56925723","16.333523860836518","0.0011242896291365505","0.9978423462447723","0.99671805661563573","122826","0.0021576537552276676","362.87707085909454"
"chr4","chr5","189752412","132826688","522911","2259125","56925723","16.333523860836518","0.0011242896291365505","0.99782565783134625","0.99670136820220967","123776","0.0021743421686537035","362.87707085909454"
