"chromosome","cross_count","avg_cross_lift","avg_cross_accuracy","avg_cross_surprise","min_cross_lift","max_cross_lift"
"chrY","23","0.9935256948041","0.995067039799865","0.004932960200135","0.981703500445721","0.997291730395111"
"chr4","23","0.993154762620116","0.994279052249253","0.005720947750747","0.973901411845046","0.997719291154194"
"chr3","23","0.993012712931652","0.994115877913516","0.005884122086484","0.972943491050652","0.997701780285262"
"chrX","23","0.99296338384067","0.994067159759309","0.005932840240691","0.972589901838403","0.997665930349781"
"chr2","23","0.992426028345238","0.993508280612255","0.006491719387745","0.970624444730797","0.997563712960037"
"chr1","23","0.992323620495094","0.993527057369652","0.006472942630348","0.970491181147766","0.997437855270409"
"chr6","23","0.992298668049005","0.993413429134826","0.006586570865175","0.970295171308258","0.997472262235928"
"chr8","23","0.992264430083373","0.993320602937078","0.006679397062922","0.969299240248608","0.997553970904844"
"chr11","23","0.992149989257026","0.993224071177143","0.006775928822857","0.968938170294635","0.997499606665502"
"chr5","23","0.992075425697108","0.993112913184798","0.006887086815202","0.968537619109101","0.997506558129835"
"chr13","23","0.992057413101369","0.993180739431887","0.006819260568113","0.969056986256296","0.997348718526876"
"chr7","23","0.992017283701039","0.993177084386926","0.006822915613074","0.969183987579363","0.997388225812975"
"chr18","23","0.991988077446868","0.993100092183831","0.006899907816169","0.968513018455333","0.997332213466208"
"chr12","23","0.991413427482831","0.992366202728971","0.007633797271029","0.965640879117996","0.997372813956031"
"chr15","23","0.991408122446312","0.992657161575035","0.007342838424965","0.965876570785047","0.997132912515789"
"chr14","23","0.991070600576721","0.992208753597722","0.007791246402278","0.96416054626634","0.997145195407226"
"chr10","23","0.990881302787217","0.992074593076954","0.007925406923046","0.964342291965311","0.99708853778216"
"chr9","23","0.990782282574442","0.99173017200214","0.00826982799786","0.962601652540241","0.997252946208281"
"chr21","23","0.989977248809777","0.990944042076166","0.009055957923834","0.956321100090501","0.996767017374174"
"chr20","23","0.989382745409976","0.990738850719732","0.009261149280268","0.95765358645909","0.9965098559778"
"chr17","23","0.989232552774205","0.9909969950652","0.0090030049348","0.95926000354802","0.996225897656799"
"chr16","23","0.989221442306658","0.990884245615053","0.009115754384947","0.958960728373696","0.996261707833626"
"chr19","23","0.988437023966495","0.99069475661383","0.00930524338617","0.957487572431763","0.995564045589054"
"chr22","23","0.987918122452144","0.98955495112277","0.01044504887723","0.95116123413596","0.995904736213853"
