"sample_index","sampled_row","sampled_col","sampled_lift","sampled_accuracy","diagnostic"
"0","chr6","chr1","0.997472262235928","0.998587023321749","label_sample_only_not_sequence_null_model"
"1","chr3","chr20","0.991636417309976","0.99273958229184","label_sample_only_not_sequence_null_model"
"2","chr8","chr14","0.992742317240478","0.993798490094183","label_sample_only_not_sequence_null_model"
"3","chrX","chr9","0.995166262031324","0.996270037949964","label_sample_only_not_sequence_null_model"
"4","chr21","chr6","0.994466736225004","0.995433529491394","label_sample_only_not_sequence_null_model"
"5","chrY","chr2","0.997291730395111","0.998833075390876","label_sample_only_not_sequence_null_model"
"6","chrX","chrY","0.972589901838403","0.973693677757043","label_sample_only_not_sequence_null_model"
"7","chr5","chr16","0.993239946464336","0.994277433952027","label_sample_only_not_sequence_null_model"
"8","chr10","chr7","0.995607067862438","0.996800358152175","label_sample_only_not_sequence_null_model"
"9","chr8","chr2","0.997511466106764","0.998567638960469","label_sample_only_not_sequence_null_model"
"10","chr8","chr6","0.996357780891266","0.997413953744971","label_sample_only_not_sequence_null_model"
"11","chr7","chr19","0.988374252030569","0.989534052716455","label_sample_only_not_sequence_null_model"
"12","chr19","chr3","0.994040220072893","0.996297952720228","label_sample_only_not_sequence_null_model"
"13","chr2","chr6","0.996435385292408","0.997517637559425","label_sample_only_not_sequence_null_model"
"14","chr21","chr7","0.994800253709436","0.995767046975825","label_sample_only_not_sequence_null_model"
"15","chr1","chr9","0.99467625617311","0.995879693047668","label_sample_only_not_sequence_null_model"
"16","chr22","chr5","0.992559490495047","0.994196319165673","label_sample_only_not_sequence_null_model"
"17","chrX","chr11","0.996163426409684","0.997267202328324","label_sample_only_not_sequence_null_model"
"18","chr21","chr22","0.979130918792026","0.980097712058416","label_sample_only_not_sequence_null_model"
"19","chr1","chr5","0.996177392177892","0.99738082905245","label_sample_only_not_sequence_null_model"
"20","chr12","chr4","0.995934625322105","0.996887400568245","label_sample_only_not_sequence_null_model"
"21","chr21","chr18","0.986797996001449","0.987764789267838","label_sample_only_not_sequence_null_model"
"22","chrX","chr21","0.982173405585571","0.983277181504211","label_sample_only_not_sequence_null_model"
"23","chr3","chr15","0.993640795105307","0.994743960087171","label_sample_only_not_sequence_null_model"
"24","chr18","chr15","0.992362733729948","0.993474748466911","label_sample_only_not_sequence_null_model"
"25","chr12","chr3","0.996407845790566","0.997360621036707","label_sample_only_not_sequence_null_model"
"26","chr11","chr14","0.992666114140096","0.993740196060213","label_sample_only_not_sequence_null_model"
"27","chr3","chr12","0.995713572797699","0.996816737779563","label_sample_only_not_sequence_null_model"
"28","chr21","chr6","0.994466736225004","0.995433529491394","label_sample_only_not_sequence_null_model"
"29","chr21","chr8","0.993805355504194","0.994772148770584","label_sample_only_not_sequence_null_model"
"30","chr19","chr16","0.990426182329408","0.992683914976742","label_sample_only_not_sequence_null_model"
"31","chr16","chr2","0.996063758939483","0.997726562247878","label_sample_only_not_sequence_null_model"
